'name','density','N','load','complete','high cardinality','low cardinality'
'LimitedBtree',1,100,1.6,1.6,0.8,0.4
'LimitedBtree',1,1000,0.8,3.6,6.2,6.0
'LimitedBtree',1,10000,4.8,35.8,66.2,56.8
'LimitedBtree',1,100000,66.6,348.0,511.2,551.0
'LimitedBtree',1,1000000,1615.0,5439.0,6846.6,7450.6
'LimitedBtree',2,100,0.0,0.8,1.0,0.4
'LimitedBtree',2,1000,0.6,5.4,8.4,8.8
'LimitedBtree',2,10000,5.6,46.4,76.0,77.8
'LimitedBtree',2,100000,67.8,515.6,784.0,852.8
'LimitedBtree',2,1000000,1684.0,5790.8,7911.2,8251.0
'LimitedBtree',3,100,0.2,0.4,1.2,0.4
'LimitedBtree',3,1000,0.6,8.2,10.8,10.0
'LimitedBtree',3,10000,6.2,64.4,94.4,97.2
'LimitedBtree',3,100000,73.6,701.8,969.2,988.2
'LimitedBtree',3,1000000,1337.2,7091.8,9619.8,9782.2
'LimitedBtree',4,100,0.0,1.0,1.4,0.6
'LimitedBtree',4,1000,0.4,10.4,12.0,10.2
'LimitedBtree',4,10000,6.0,84.6,106.6,108.0
'LimitedBtree',4,100000,65.6,844.0,1066.8,1049.2
'LimitedBtree',4,1000000,1356.8,8904.8,11012.8,11097.2
'LimitedBtree',5,100,0.2,1.2,1.2,0.6
'LimitedBtree',5,1000,0.6,11.2,11.8,9.8
'LimitedBtree',5,10000,5.4,101.8,113.2,111.8
'LimitedBtree',5,100000,58.8,982.8,1119.2,1089.0
'LimitedBtree',5,1000000,1370.2,10526.6,12023.4,12397.2
'LimitedBtree',6,100,0.0,1.2,1.0,0.8
'LimitedBtree',6,1000,0.4,11.6,11.0,9.0
'LimitedBtree',6,10000,6.0,112.2,112.8,110.6
'LimitedBtree',6,100000,61.6,1130.8,1174.6,1127.0
'LimitedBtree',6,1000000,1351.4,11432.8,12073.6,12150.0
'LimitedBtree',7,100,0.0,1.2,1.2,0.8
'LimitedBtree',7,1000,0.4,11.6,10.4,8.8
'LimitedBtree',7,10000,5.4,116.2,108.4,106.6
'LimitedBtree',7,100000,63.4,1162.8,1147.2,1136.0
'LimitedBtree',7,1000000,1153.0,12143.0,11952.2,11960.4
'LimitedBtree',8,100,0.0,1.2,1.0,0.8
'LimitedBtree',8,1000,0.4,11.2,9.8,8.4
'LimitedBtree',8,10000,5.0,113.4,101.6,100.8
'LimitedBtree',8,100000,59.2,1163.6,1080.0,1051.2
'LimitedBtree',8,1000000,938.0,12302.6,11506.0,11481.6
'LimitedBtree',9,100,0.0,1.0,1.0,0.8
'LimitedBtree',9,1000,0.4,10.2,9.0,8.0
'LimitedBtree',9,10000,4.6,108.0,94.0,93.2
'LimitedBtree',9,100000,59.0,1131.2,1018.6,988.6
'LimitedBtree',9,1000000,668.4,12026.8,10826.6,10836.6
