'Type', 'Population', 'Load Elapsed', 'Complete Elapsed', 'Complete Found', 'Name Elapsed', 'Name Found', 'Feature Elapsed', 'Feature Found'
'Flat Bloofi',100,2,34,1,11,1,4,2502
'Flat Bloofi',100,1,7,1,6,1,4,2502
'Flat Bloofi',100,1,7,1,5,1,5,2502
'Flat Bloofi',100,1,6,1,10,1,5,2502
'Flat Bloofi',100,2,8,1,5,1,3,2502
'Flat Bloofi',1000,5,56,1,15,1,8,22528
'Flat Bloofi',1000,4,33,1,18,1,7,22528
'Flat Bloofi',1000,3,21,1,20,1,8,22528
'Flat Bloofi',1000,5,25,1,14,1,8,22528
'Flat Bloofi',1000,4,24,1,14,1,8,22528
'Flat Bloofi',10000,19,227,13,187,14,103,556294
'Flat Bloofi',10000,19,237,13,186,14,107,556294
'Flat Bloofi',10000,16,242,13,191,14,100,556294
'Flat Bloofi',10000,16,240,13,194,14,102,556294
'Flat Bloofi',10000,17,233,13,199,14,111,556294
'Flat Bloofi',100000,355,3914,158,2390,223,1729,12768218
'Flat Bloofi',100000,332,3724,158,2165,223,2060,12768218
'Flat Bloofi',100000,277,3918,158,2170,223,2163,12768218
'Flat Bloofi',100000,209,3912,158,2439,223,2165,12768218
'Flat Bloofi',100000,196,3721,158,2427,223,2508,12768218
'Flat Bloofi',1000000,8408,38374,4335,25069,6618,21435,105882657
'Flat Bloofi',1000000,8128,37836,4335,24231,6618,21398,105882657
'Flat Bloofi',1000000,7531,38079,4335,23141,6618,21403,105882657
'Flat Bloofi',1000000,7604,37883,4335,22550,6618,21350,105882657
'Flat Bloofi',1000000,7564,48956,4335,21822,6618,21417,105882657
'Hamming',100,2,14,1,53,1,43,2502
'Hamming',100,1,7,1,47,1,42,2502
'Hamming',100,1,3,1,37,1,39,2502
'Hamming',100,0,2,1,44,1,43,2502
'Hamming',100,1,2,1,34,1,38,2502
'Hamming',1000,1,17,1,387,1,432,22528
'Hamming',1000,0,16,1,374,1,446,22528
'Hamming',1000,0,15,1,377,1,427,22528
'Hamming',1000,1,16,1,375,1,435,22528
'Hamming',1000,0,16,1,376,1,437,22528
'Hamming',10000,8,170,13,5559,14,6031,556294
'Hamming',10000,7,167,13,5372,14,6038,556294
'Hamming',10000,7,166,13,5477,14,6073,556294
'Hamming',10000,8,173,13,5316,14,6106,556294
'Hamming',10000,8,171,13,5472,14,6226,556294
'Hamming',100000,319,1752,158,49302,223,64319,12768218
'Hamming',100000,319,1759,158,52409,223,61865,12768218
'Hamming',100000,318,1765,158,53151,223,63096,12768218
'Hamming',100000,318,1773,158,52344,223,62887,12768218
'Hamming',100000,319,1762,158,52535,223,61584,12768218
'Hamming',1000000,39344,28397,4335,536681,6618,615370,105882657
'Hamming',1000000,39589,28410,4335,539105,6618,599411,105882657
'Hamming',1000000,40353,28965,4335,541448,6618,595741,105882657
'Hamming',1000000,40199,28781,4335,534827,6618,594299,105882657
'Hamming',1000000,40050,28602,4335,529146,6618,595006,105882657
